query,user,date,content,replies,retweets,likes
Boycott India,/mhmdshr04092500,2025-08-29T19:57:40.000Z,محمد شرف @mhmdshr04092500 · Aug 30 #مقاطعة_المنتجات_الداعمة_لإسرائيل #طوفان_الأقصى #طرد_العمالة_الهندوسية #مقاطعة_المنتجات_الفرنسية1766 #الحق_أقوى_ومنتصر #مقاطعة_المنتجات_الهندية #غضبة_المليار_لرسول_الله #india _is_the_terrorist_count #Boycott _Indian_Products 18,18,18,18
Boycott India,/JohnLukeSam1,2025-08-29T19:51:34.000Z,"Proudly Blue @JohnLukeSam1 · Aug 30 Trump, with his silly & punitive tariffs on India , has angered that nation to such an extent that they're now embracing China, which is once again exactly what Putin would want him to do. https:// msn.com/en-us/money/co mpanies/india-boycott-of-us-products-could-see-millions-ditch-mcdonald-s-pepsi/ar-AA1LurPg?ocid=hpmsn&cvid=775122154f574ef79a5b0e858275e7a3&ei=17 … 50",50,50,50
Boycott India,/Vasudev_070,2025-08-29T19:25:37.000Z,"Tweety Pi @Vasudev_070 · Aug 30 Replying to @MAGAWorld4896 @TrumpUpdateHQ and @grok It's not just Russia and China. India exports to many more countries. By 2038, India is expected to beat USA in terms of PPP. And Jndia is the biggest market in the world. All it has to do is boycott USA to bring it to it's knees especially after US has alienated all its allies 257",257,257,257
Boycott India,/shubham_p25,2025-08-29T19:11:36.000Z,Dr. Shubham @shubham_p25 · Aug 30 Replying to @bijlanirajesh Most of the food chains are run by franchises that are registered in India They pay royalties to the parent company which is mostly in single digit % of revenue generated. Boycott will barely make any difference to their parent companies but will impact livelihood of many Indians 1 4 48,1,1,1
Boycott India,/alikakakhel89,2025-08-29T19:07:39.000Z,ali kakakhel @alikakakhel89 · Aug 30 Replying to @IndiaToday @Chellaney and 2 others but china helped pak in war against india .. why no boycott like turkey azerbaijan 40,40,40,40
Boycott India,/111111111111llo,2025-08-29T19:03:17.000Z,I I S M @111111111111llo · Aug 30 Replying to @MeghUpdates Please declared hindu country in india ... boycott usa democracy..Hinduism have a manusmriti 19,19,19,19
Boycott India,/zkkhan51,2025-08-29T19:02:51.000Z,Zari khan @zkkhan51 · Aug 30 I have a suggestion Ind*a boycott us in Champions league but in Asia cup they are ready to play with us It is good time boycott india in asia cup to save our dignity and honour as well because ( ye zal'el hi krwaie ge humain hype banwa k  boycot krke patli gali se nikal lo) 1 19,1,1,1
Boycott India,/abanipanda2,2025-08-29T18:56:38.000Z,abi @abanipanda2 · Aug 30 Replying to @RealPNavarro U r really a big CHUTIYA. Don't forget it took 16 years for Coca Cola to reenter in India . If we boycott it then ur country ll lose a heavy amt of trade. If the Indians leave ur country than ur economy ll collapse. We the common Indian watching... 21,21,21,21
Boycott India,/ntweet_55,2025-08-30T08:14:55.000Z,"naq5 @ntweet_55 · Aug 30 Leaving aside boycott calls. Involving turkey in aviation sector is actually risky while they sell drones to pak which are used to attack India . But who cares abt the human  lives lost in war both citizen n army as these politicians live safely. Quote Rajdeep Sardesai @sardesairajdeep · Aug 30 Story that caught the eye: three months ago studio warriors and RW IT cell army were fulminating against all things TURKISH.. now, quietly it’s back to business.. Ditto with China.. not to forget cricket with Pakistan. U turn pe U turn .. but please don’t ask too many questions Show more 1 193",1,1,1
Boycott India,/iqbalpara,2025-08-30T08:08:58.000Z,iقबाಲ್ para @iqbalpara · Aug 30 Will you boycott US now ??? US Economic war against India !! @rohini_sgh @priyankac19 9,9,9,9
Boycott India,/moneyMagnet909,2025-08-30T07:43:31.000Z,"Money Magnet @moneyMagnet909 · Aug 30 #Boycottchina ke baad #Boycottamerica soch raha hu, lekin koi sath Nahi de raha, America itna jaruri hai kya India ke liye!? #Facebook #WhatsApp #google #gmail #twitter aur kya kya Boycott karna hai. 25",25,25,25
Boycott India,/doctorjain21542,2025-08-30T07:10:49.000Z,doctor Sandhya @doctorjain21542 · Aug 30 Replying to @roshnikushal I am against ur politicians mentality and I boycott the politicians field but yes if ur politicians are involved for the prime minister of india position I will be involved too. 2,2,2,2
Boycott India,/parthoborthakur,2025-08-30T07:00:02.000Z,"পাৰ্থ অসম বৰঠাকুৰ @parthoborthakur · Aug 30 50% tariffs on #India by America.

What if 145 crore Indians stop buying/using American products and boycott them? #America is losing one of its most trustworthy friend. Does that make America great again? #IndiaFirst #MakeInIndia #India2047 #G7 #G20 #BRICS 36",36,36,36
Boycott India,/NHBhandral,2025-08-30T06:55:15.000Z,MasterofPuppets @NHBhandral · Aug 30 Replying to @ZeeNews Acha india mai jo mcd aur KFC khule hai usme kam kar rhe workers ka kya hoga kya tum unko naukari doge? Hum Indian's yhe kabhi nhi bolte ki hum independent banege khud ki chiz banaege bhar se nhi lenge bas boycott karne ata hai. #TrumpTariffs #India 20,20,20,20
Boycott India,/Ajit5666Singh,2025-08-30T06:26:29.000Z,Ajeet Singh @Ajit5666Singh · Aug 30 Anjana om Modi now in all debates mute opposition spokes person Mike & Spread idiotic nonsense gyaan irritating arrogant pathetic behaviour. India alliance must be boycott Anjana debates. @anjanaomkashyap @aajtak @INCIndia @samajwadiparty @AamAadmiParty @RJDforIndia @warispathan 1 1 11,1,1,1
Boycott India,/milindsingh,2025-08-30T06:11:43.000Z,"Milind Singh @milindsingh · Aug 30 Replying to @tehseenp Tehseen this is a pure economic construct, hit them where it hits - inc should call for a boycott of any brand that advertises in India Pak match - in stadium or outside. Make every brand considering buying a Tv spot , think very very hard about potential losses 39",39,39,39
Boycott India,/Planet_Deb,2025-08-31T12:19:25.000Z,"Debasish Roy Chowdhury @Planet_Deb · 38m India ’s weak hand is showing. Not too long ago, Modi’s party members were urging boycott of Chinese goods because of China’s diplomatic backing of Pakistan in UN. Today, his govt is willing to overlook its own claims of China’s material support to Pakistan in war against India 55",55,55,55
Boycott India,/IAbhi_s,2025-08-31T12:13:48.000Z,"Abhishek Singh @IAbhi_s · 44m Replying to @sidhant Muizzu, ke Boycott India wala propaganda ka kya hua? 3 258",3,3,3
Boycott India,/primetvindia,2025-08-31T11:58:38.000Z,Prime Tv @primetvindia · 59m India Kicks Out Coca-Cola : ट्रंप के टैरिफ के बाद भारत में अमेरिकी कंपनियों का बायकॉट || Boycott McDonalds #India #Boycott #Pepsi #CocaCola #KFC #McDonalds #AmericanBrands #USTariff #DonaldTrump #AntiAmerican #primetvindiaofficial 20,20,20,20
Boycott India,/AjayRahcn18756,2025-08-31T11:57:08.000Z,"ajay rahcn @AjayRahcn18756 · 1h Replying to @lakshaymehta31 and @narendramodi Then why all the hungama of boycott china? and tiktok ban? Allow chinese companies free hand in india and see the outlook, they will ravage ur land like devils... Unban tiktok fast although it never was banned completely iykyk 108",108,108,108
Boycott India,/AjayRahcn18756,2025-08-31T11:54:35.000Z,ajay rahcn @AjayRahcn18756 · 1h Replying to @Wanderpaw and @narendramodi so go work with pak too.. Aren't they ur neighbours too? This non biological called for complete boycott of chinese products in india after covid now that america is ditching him. He went sucking upto xinping and all his followers are on the bandwagon again... 1 21,1,1,1
Boycott India,/ShikharAga85920,2025-08-31T11:50:55.000Z,Shikhar Agarwal @ShikharAga85920 · 1h Replying to @ShikharAga85920 and @mishrit_vrtt actually agar puri imaandaari se baat kare agar 90% galti BCCI ki hain toh 10% uss public ki bhi hain jisne India Pakistan ka match kabhi boycott nahi kiya 9,9,9,9
Boycott India,/UiTV_Connect,2025-08-31T11:49:02.000Z,"UiTV Connect @UiTV_Connect · 1h American Multinationals Face Boycott Threat Amid Trump’s Tariffs on India #BoycottAmericanBrands #TrumpTariffs #IndiaFirst #SupportLocal #TradeWarImpact #SayNoToUSBrands #StandWithIndia uitvconnect.com American Multinationals Face Boycott Threat Amid Trump’s Tariffs on India - Uitvconnect : Breaking... American multinational giants such as Pepsi, Coca-Cola, Subway, KFC, and McDonald’s are facing the heat in India after U.S. President Donald Trump imposed 30",30,30,30
Boycott India,/Worldscope_dk,2025-08-31T11:46:33.000Z,"Dinesh kumar @Worldscope_dk · 1h From Pepsi to McDonald’s — US giants face Swadeshi Heat in India After Trump’s 50% tariffs, calls to boycott US brands are rising Pepsi India revenue: ₹8200 Cr McDonald’s India : ₹2390 Cr
Modi pushes Vocal for Local #TrumpTariffs #BoycottUSBrands youtube.com Swadeshi Heat on US Giants! Pepsi, McDonald’s Risk Big Losses in... Pepsi, McDonald’s, Coca-Cola, Subway, and KFC are facing boycott calls in India after Donald Trump imposed 50% tariffs on Indian goods. PM Modi has urged cit... 1 105",1,1,1
Boycott India,/amritesh16923,2025-08-31T11:33:45.000Z,Amritesh Pandey @amritesh16923 · 1h I shall not watch India vs Pakistan match in Asia cup. #Boycott _cricket_with_Pakistan 12,12,12,12
Boycott India,/grok,2025-08-31T11:20:07.000Z,"Grok @grok · 1h Replying to @KumarXclusive Economic tensions between the US and India have escalated with Trump's 50% tariffs on Indian goods over Russian oil imports, prompting boycott calls against US brands in India . Meanwhile, Indian professionals hold about 70% of H-1B visas, but recent US proposals aim to reform the Show more Ask Grok 1 1 57",1,1,1
Boycott India,/Indian2001Shibu,2025-08-31T11:00:01.000Z,"Save the idea of India @Indian2001Shibu · 1h Replying to @TimesAlgebraIND China Boycott to Historic India China meet

Andhbhakt is definitely thick skinned. 21",21,21,21
Boycott India,/N0VA_09,2025-08-31T10:51:06.000Z,𝖭ο𝑣ɑ 🫟 @N0VA_09 · 2h Im Gen-Z but not gen-Z #boycott _ india _pak_match #BCCI 19,19,19,19
Boycott India,/chensihaaan,2025-08-31T10:43:28.000Z,"晨思涵 Chensihaan @chensihaaan · 2h Replying to @sidhant After years of ‘ Boycott China’, now they want direct flights? Looks like Made in China diplomacy is back in demand.
Fasten your seatbelts, India ... turbulence in pride expected 3 18",3,3,3
Boycott India,/chensihaaan,2025-08-31T10:43:26.000Z,"晨思涵 Chensihaan @chensihaaan · 2h After years of ‘ Boycott China’, now they want direct flights? Looks like Made in China diplomacy is back in demand.
Fasten your seatbelts, India ... turbulence in pride expected Quote Sidhant Sibal @sidhant · 8h Breaking: India, China to start direct flights, PM Modi tells Chinese President Xi Jinping 35",35,35,35
Boycott India,/AbcPeaceabc10,2025-08-31T10:43:08.000Z,"राहुल छपरी @AbcPeaceabc10 · 2h Replying to @AbcPeaceabc10 Mein bakhri mere Sabhi fan's SE request Karta Hu ,mera Sath doo Salaar part 2 aur prabhas KO North India SE boycott Karo 
Salaar part 2 k time mere fan's bahut rone wale Hai 1 3 33",1,1,1
Boycott India,/kriket56,2025-08-31T10:10:00.000Z,"Advocate Herambh Shastri @kriket56 · 2h Replying to @Anand_Dasa88 Floating ""Nationalism "" ? As Trump Uncle ditched Modiji, Modiji is hugging China. Is this foreign policy of Government of India ?
When Modiji appeals us boycott Chinese Goods we boycott Chinese Goods, when he appeals us to buy Chinese Goods we buy Chinese Goods, are we monkey? 31",31,31,31
