content,label
"Balochis are proud Pakistanis, and Balochistan was, is and always will be Pakistan, Insha'Allah.

Indian Occupied Kashmir will be free, it's written on the wall!  #FreeKashmir #FreeKashmir",1
"Salaam all, #AlAqsaUnderAttack #AlAqsaUnderAttack  #AlAqsaCallsMuslimArmies #AlAqsaCallsMuslimArmies  #freegaza #freegaza  #freepalestine #freepalestine   #freekashmir #freekashmir   #freepakistan #freepakistan  #freerohingiyamuslims #freerohingiyamuslims  #IndianMuslimsUnderAttack #IndianMuslimsUnderAttack  #freeuyghurs #freeuyghurs Massalaam
Suhail",1
#yasinmalik #yasinmalik  #saveyasinmalik #saveyasinmalik  #kashmir #kashmir   #freekashmir #freekashmir   #savekashmir #savekashmir  #kashmirvalley #kashmirvalley,1
"Trigger warning: Trigger warnings are the unfunniest joke in a world where children are r*ped, slaughtered, dismembered, and orphaned. Grow a pair.  I HOPE this post triggered you! #FreePalestine #FreePalestine  #Gaza #Gaza   #freekashmir #freekashmir",1
"آ عندلیب مل کریں آہ و زاریاں
تو ہائے گل پکار میں چلاؤں ہائے دل #Kashmir #Kashmir   #FreeKashmir #FreeKashmir   #srinagar #srinagar  #illegaloccupation #illegaloccupation  #kashmirtiger #kashmirtiger  #Article370 #Article370  #KashmirBleeds #KashmirBleeds  #KashmirWithForces #KashmirWithForces",1
"We Stand with Kashmir Students

 We condemn brutal arrests & demand immediate release of students unconditional withdrawal of FIRs & a peaceful solution respecting Kashmir's will
Let's raise our voices for Kashmir's freedom #KashmirDeservesJustice #KashmirDeservesJustice  #StandWithKashmir #StandWithKashmir   #FreeKashmir #FreeKashmir",1
"Pakistan’s atrocities in POJK and Gilgit - Baltistan cannot be swept under the rug. Raise your voice, spread awareness and support the fight for freedom and justice. #StopPakistanAtrocities #StopPakistanAtrocities   #FreeKashmir #FreeKashmir   #SambhalKaSach #SambhalKaSach  #11yearsofjandhan #11yearsofjandhan  #FloodAlert #FloodAlert  #raviriver #raviriver  @GreaterKashmir @GreaterKashmir",1
We deserve to have our demands met #Kashmir #Kashmir   #freekashmir #freekashmir   #freeourpeople #freeourpeople  #righttoprotest #righttoprotest,1
#freekashmir #freekashmir   #FloodsInPakistan #FloodsInPakistan  #zonauang #zonauang,1
بھوک ہڑتال طلبہ کی گرفتاری کہ بعد راولاکوٹ میں عوامی سمندر امڈ آیا  راولاکوٹ شہر  نعرون سے گونج رہا ہے #StopStateTerrorism #StopStateTerrorism  #rawalakot #rawalakot  #Kashmir #Kashmir   #freekashmir #freekashmir,1
"""Stop #JCB #JCB 's Bulldozer #Genocide #Genocide A report on Human Rights Violations #Palestine #Palestine , #India #India and #Kashmir #Kashmir "", 22 January 2025 #FreePalestine #FreePalestine   #FreeKashmir #FreeKashmir   #Muslims #Muslims  #Israel #Israel Download here https://southasiasolidarity.org/wp-content/uploads/2019/09/MainText_merged.pdf… https:// oads/2019/09/MainText_merged.pdf …",1
"India’s “democracy” in IIOJK now means stealing schools and silencing pens. Afraid of knowledge, because truth writes its own freedom.  #IIOJK #IIOJK   #FreeKashmir #FreeKashmir   #EndOccupation #EndOccupation  #KashmirBleeds #KashmirBleeds  #bb27 #bb27  #BBNaijaS10 #BBNaijaS10  #LoveIsland #LoveIsland  #WINTER #WINTER  #LoveIslandUSA #LoveIslandUSA",1
#Humanity #Humanity  #ReleaseYasinMalik #ReleaseYasinMalik  #RightsMovementAJK #RightsMovementAJK #  #FreeKashmir #FreeKashmir   #straggleuntilvictory #straggleuntilvictory,1
"Breaking in Another sham unfolds: IIOJK legislature faces a nomination row, proving that democracy under occupation is nothing but political theatre   #FreeKashmir #FreeKashmir   #LoveIslandUSA #LoveIslandUSA  #arkanis #arkanis  #KengNamping #KengNamping  #ZeePruk #ZeePruk  #emiamily #emiamily",1
